subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
43845605,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546126.8257566652,2889024.213130886,546142.6922529115,2889040.0690565156],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":52}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/4826e8e6-9709-4107-bd1a-b7dc090baa55.png""}",0,,,2020-04-23 14:46:12 UTC,2020-04-23 14:46:12 UTC
43845607,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545984.1224260025,2889214.4842384364,545999.9783516317,2889230.340164066],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":53}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/dd2b68a8-9bc3-4edf-93d4-b09a94014e13.png""}",0,,,2020-04-23 14:46:13 UTC,2020-04-23 14:46:13 UTC
43845609,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545952.4105747441,2889135.2046102905,545968.2665003733,2889151.06053592],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":54}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/88c1bbbd-d2ef-4009-90c6-0e1e578636b0.png""}",0,,,2020-04-23 14:46:13 UTC,2020-04-23 14:46:13 UTC
43845611,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546047.5461285192,2889198.6283128075,546063.4126247655,2889214.484238437],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":55}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6340d4b6-92ef-4aab-b67e-dbb1d10a92fb.png""}",0,,,2020-04-23 14:46:14 UTC,2020-04-23 14:46:14 UTC
43845613,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545999.9783516317,2889246.1960896947,546015.8342772608,2889262.052015324],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":56}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ee4196d1-e799-4a65-83f2-3a370bf9750a.png""}",0,,,2020-04-23 14:46:14 UTC,2020-04-23 14:46:14 UTC
43845615,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545873.1309465981,2889499.890899762,545888.9868722273,2889515.7468253914],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":57}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f502153d-6ec3-428d-9d27-1531c8f8d233.png""}",0,,,2020-04-23 14:46:15 UTC,2020-04-23 14:46:15 UTC
43845617,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[546047.5461285192,2889119.3486846616,546063.4126247655,2889135.204610291],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":58}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f277abdd-2d8c-4a35-ba07-d2efd701ea61.png""}",0,,,2020-04-23 14:46:16 UTC,2020-04-23 14:46:16 UTC
43845620,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545730.4276159353,2889071.780907774,545746.2835415645,2889087.6368334033],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":59}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/83ea4c93-857f-4d3e-8ef9-a1c754349122.png""}",0,,,2020-04-23 14:46:16 UTC,2020-04-23 14:46:16 UTC
43845622,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545841.4190953397,2889182.772387178,545857.2750209689,2889198.6283128075],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":60}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8b9ccc7d-42d3-4af8-985f-6397982257ba.png""}",0,,,2020-04-23 14:46:17 UTC,2020-04-23 14:46:17 UTC
43845624,10951,13683,83084,"{""crs"":32617,""site"":""6thBridge_03112020"",""bounds"":[545857.2750209689,2889277.9079409535,545873.1415172152,2889293.763866583],""resolution"":[0.010570617086130553,0.010570617086130553],""subject_reference"":61}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a1e499b9-8849-424b-a9fd-933ef932b873.png""}",0,,,2020-04-23 14:46:17 UTC,2020-04-23 14:46:17 UTC
