year,region,species,count
1995,wcas,lbhe,1621
1995,wcas,rosp,0
1995,wcas,sneg,428
1995,wcas,total,10485
1995,wcas,tric,971
1995,wcas,unid,0
1995,wcas,whib,3029
1995,wcas,wost,0
1996,all,bcnh,52
1996,all,caeg,2353
1996,all,cerp,7701
1996,all,gbhe,370
1996,all,glib,19
1996,all,greg,4396
1996,all,lbhe,2050
1996,all,rosp,0
1996,all,sneg,680
1996,all,total,11138
1996,all,tric,946
1996,all,unid,0
1996,all,whib,1825
1996,all,wost,800
1996,enp,bcnh,
1996,enp,caeg,
1996,enp,cerp,1576
1996,enp,gbhe,
1996,enp,glib,
1996,enp,greg,896
1996,enp,lbhe,
1996,enp,rosp,
1996,enp,sneg,100
1996,enp,total,1576
1996,enp,tric,
1996,enp,unid,
1996,enp,whib,5
1996,enp,wost,575
1996,loxahatchee,bcnh,30
1996,loxahatchee,caeg,2253
1996,loxahatchee,cerp,1647
1996,loxahatchee,gbhe,117
1996,loxahatchee,glib,0
1996,loxahatchee,greg,814
1996,loxahatchee,lbhe,1372
1996,loxahatchee,rosp,
1996,loxahatchee,sneg,26
1996,loxahatchee,total,3363
1996,loxahatchee,tric,197
1996,loxahatchee,unid,0
1996,loxahatchee,whib,807
1996,loxahatchee,wost,0
1996,wca2-3,bcnh,22
1996,wca2-3,caeg,100
1996,wca2-3,cerp,4478
1996,wca2-3,gbhe,253
1996,wca2-3,glib,19
1996,wca2-3,greg,2686
1996,wca2-3,lbhe,678
1996,wca2-3,rosp,
1996,wca2-3,sneg,554
1996,wca2-3,total,6199
1996,wca2-3,tric,749
1996,wca2-3,unid,
1996,wca2-3,whib,1013
1996,wca2-3,wost,225
1996,wcas,bcnh,52
1996,wcas,caeg,2353
1996,wcas,cerp,6125
1996,wcas,gbhe,370
1996,wcas,glib,19
1996,wcas,greg,3500
1996,wcas,lbhe,2050
1996,wcas,rosp,0
1996,wcas,sneg,580
1996,wcas,total,9562
1996,wcas,tric,946
1996,wcas,unid,0
1996,wcas,whib,1820
1996,wcas,wost,225
1997,all,bcnh,170
1997,all,caeg,1648
1997,all,cerp,7573
1997,all,gbhe,217
1997,all,glib,0
1997,all,greg,3496
1997,all,lbhe,1358
1997,all,rosp,0
1997,all,sneg,383
1997,all,total,10216
1997,all,tric,883
1997,all,unid,15
1997,all,whib,3350
1997,all,wost,344
1997,enp,bcnh,
1997,enp,caeg,350
1997,enp,cerp,747
1997,enp,gbhe,
1997,enp,glib,
1997,enp,greg,372
1997,enp,lbhe,
1997,enp,rosp,
1997,enp,sneg,30
1997,enp,total,747
1997,enp,tric,
1997,enp,unid,
1997,enp,whib,100
1997,enp,wost,245
1997,loxahatchee,bcnh,132
1997,loxahatchee,caeg,1028
1997,loxahatchee,cerp,1688
1997,loxahatchee,gbhe,95
1997,loxahatchee,glib,0
1997,loxahatchee,greg,516
1997,loxahatchee,lbhe,1311
1997,loxahatchee,rosp,
1997,loxahatchee,sneg,73
1997,loxahatchee,total,3480
1997,loxahatchee,tric,254
1997,loxahatchee,unid,0
1997,loxahatchee,whib,1095
1997,loxahatchee,wost,4
1997,wca2-3,bcnh,38
1997,wca2-3,caeg,270
1997,wca2-3,cerp,5138
1997,wca2-3,gbhe,122
1997,wca2-3,glib,0
1997,wca2-3,greg,2608
1997,wca2-3,lbhe,47
1997,wca2-3,rosp,
1997,wca2-3,sneg,280
1997,wca2-3,total,5989
1997,wca2-3,tric,629
1997,wca2-3,unid,15
1997,wca2-3,whib,2155
1997,wca2-3,wost,95
1997,wcas,bcnh,170
1997,wcas,caeg,1298
1997,wcas,cerp,6826
1997,wcas,gbhe,217
1997,wcas,glib,0
1997,wcas,greg,3124
1997,wcas,lbhe,1358
1997,wcas,rosp,0
1997,wcas,sneg,353
1997,wcas,total,9469
1997,wcas,tric,883
1997,wcas,unid,15
1997,wcas,whib,3250
